Month_Year,URL,Title,Title,Date,Description,
August 2012,https://little-berlin.squarespace.com/calendar/2012/8/3/the-wanderings-of-turtle-island,The Wanderings of Turtle Island,THE WANDERINGS OF TURTLE ISLAND,"Friday, August 3, 2012","Curated by Angela McQuillan

The Wanderings of Turtle Island, a multimedia fine visual art series in process for twelve years and spanning over a thousand sequential originals, of multiple interpermeated temporal spans, will exhibit for just one day at The Little Berlin Fairgrounds.The artist would most like to speak to those who show up on this ""Information Dirt Road"" to read these grammatically-diverse swaths of narrative synergy about living freely in a world not entirely free. Theartist, named Cesco Vascio for short, and Francesco Lovascio di Santis for long, has primarily developed his style in isolation, remaining a self-taught creative, who, if summoned by communities with resonate values may lend his ""media solidarity.""

For details see: http://www.mountainjustice.org/portrait_story_project/index.php http://portraitstoryproject.org/ http://voicesforappalachia.org/http://www.unitedmountaindefense.org/outreach_and_education.html http://postkatrinaportraits.org/ http://austincreator.blogspot.com/ http://bsnorrell.blogspot.com/2007/12/katrinas-apartheid-portraits-and-hand.htmlhttp://pacificastudent.info/?p=316 http://auroralights.org/map_project/theme.php?theme=crm&article=primaryhttp%3A%2F%2Ffacesofmadtown.org%2F

6pm - dark
Rain Date: Saturday August 11th",
July 2012,https://little-berlin.squarespace.com/calendar/2012/7/29/reading-room-closing-reception-panel-discussion,Reading Room: Closing Reception + Panel Discussion,READING ROOM: CLOSING RECEPTION + PANEL DISCUSSION,"Sunday, July 29, 2012","Curated by Becky Huff Hunter

Join novelist Rachel Pastan, philosopher BJ Elicker, and Reading Room artists Emily Erb and Matt Kalasky, for an informal panel discussion around visual art and writing's shared spaces. 

~~~~~~~~~~~~~~~~~~~~
Sunday, July 29th at 3PM
little berlin gallery at the Viking Mill
~~~~~~~~~~~~~~~~~~~~

BJ Elicker will share aspects of his ongoing doctoral project, considering the novel as a visual and material object. 

Rachel Pastan is the author most recently of the novel Lady of the Snakes. She is also Editor at Large for the Institute of Contemporary Art at the University of Pennsylvania, where she writes the blog Miranda. She will be speaking on why so many novelists choose to write about artists.
http://www.rachelpastan.com/

Emily Erb and Matt Kalasky will speak about their work in the context of the show, and audience members are warmly invited to join the conversation.
http://emilyerb.com/
http://mattkalasky.com/

There will be refreshments!",
May 2012,https://little-berlin.squarespace.com/calendar/2013/5/23/lets-paint-tv-with-john-kilduff-portrait-painting-session-and-peep-closing-celebration,Let's Paint TV with John Kilduff Portrait Painting Session and Peep Closing Celebration,LET'S PAINT TV WITH JOHN KILDUFF PORTRAIT PAINTING SESSION AND PEEP CLOSING CELEBRATION,"Wednesday, May 23, 2012","Please join us for a very special livestream session with the ultimate master multi-tasker of ""Let's Paint TV"", John Kilduff. 
http://letspainttv.com/
He will be running a 5k, making cheesesteaks, and painting your portrait. Please RSVP on this event wall if you're interested in having your portrait painted by John, and specify whether you'd like a 20 minute portrait for $75 or a 10 minute portrait for $20!!!portraits! http://www.youtube.com/watch?v=ywAYXEHXM8U

About ""Let's Paint TV"" and John Kilduff: http://en.wikipedia.org/wiki/Let%27s_Paint_TV

 

 

Facebook Event Page ",
April 2012,https://little-berlin.squarespace.com/calendar/2012/4/27/low-lives-4-philadelphia,Low Lives 4 Philadelphia,LOW LIVES 4 PHILADELPHIA,"

          Friday, April 27, 2012


            8:30 PM
            20:30




          Saturday, April 28, 2012


            6:00 PM
            18:00


        ","little berin and Mascher Space are excited to present a two-day international networked performance festival: Low Lives 4 in Philadelphia.

Low Lives examines works that critically investigate, challenge, and extend the potential of performance practice presented live through online broadcasting networks. These networks provide a new alternative and efficient medium for presenting, viewing, and archiving performances.

Now entering its fourth year, Low Lives is an international festival of live performance-based works transmitted via the internet and projected in real time at multiple venues throughout the U.S. and around the world.http://www.lowlives.net/

/////// D A T E S ////////
Friday April 27: 8:30PM - 1AM EST
Saturday April 28: 3PM - 6PM EST

For the duration of each day of the festival, little berlin gallery will be connected via livestream to co-presenting spaces all over the world for a series of networked performances – drop-in as you wish to observe, short performances begin roughly every 15 minutes.

Admission: $5 Artists / $10 General Public
Beverages available for a suggested donation, snacks available each evening

////// L I V E P E R F O R M A N C E //////
Join us for Philadelphia’s live Event! ~~~ Hosted by Jane Goodall and her newest BFF Donna Haraway, party down cyber-jungle style with Video Games, Tarot, Monkeys, Photo Booths, Food, and Beer! 

And at the height of the party around 11pm–leap across the Atlantic Ocean with Jane–to join the live performance with her Tanzanian lover–Superstar Scholar Dunstan Matungwa!

/////// F R I D A Y 4.27 9 P M until 1 A M//////

Performers:
Dunstan Matungwa (Tanzania)
Britney Leigh Hines (Philadelphia)
Marcel W. Foster (Philadelphia)

Jane Goodall speaks with a Native about Nature! Hyphen-Nation Arts joined forces with Marcel W. Foster and presented the “comic delight” (The Art Blog) of The Jane Goodall: Experience. Join Jane once again as she leaps across the Atlantic Ocean with the help of her friend, the interwebs, to live-stream a conversation about the beauty and future of Africa with Tanzanian Environmental Historian—Dunstan Matungwa.

Read More about the performance: 
http://littleberlin.org/

////// C O L L A B O R A T O R S //////
little berlin is an undefined exhibition space in Kensington
http://littleberlin.org/

Mascher Space is a home for new dance in Philadelphia (also in Kensington)
http://mascherdance.com/

 

 

Facebook Event Page",
March 2012,https://little-berlin.squarespace.com/calendar/2012/3/24/little-glitches,LiTTle GLITCHes,LITTLE GLITCHES,"Saturday, March 24, 2012","For the closing night of the exhibition Flash Fl00d, Little Berlin presents LiTTle GLI.TC/Hes. Operating as a rapidfire glitch night, performers, speakers, and artists will each have 15 minutes for their own performance, talk, slideshow or presentation. 

There will be performances on homemade circuit bent instruments, moving gif movies, analog projector hacking, VJ'ing skills, slideshows of web art, glitch p0rn, and more throughout the evening. If you'd like to participate with your own 15 minutes, please RSVP (email, facebook message, or post below). 

We'll imbibe with food + drink all nite long.

LiTTle GLI.TC/Hes features participants from around the webisphere including visiting artists from the Art Institute of Chicago:

INCOMPLETE LIST OF PARTICIPANTS:
GLITCH Fest www.gli.tc/h
Alfredo Salazar Caro www.alfredosalazarcaro.com/
patrick QUINN www.adultlifesciences.com
I Break 4 Bacon www.ibreak4bacon.com
JD Kramer www.FAUXTRONICS.com
Mark Price www.twenty-xx.tumblr.com
bieniosek www.bieniosek.com
2sman www.2sman.tumblr.com
The Great Quentini www.quentini.com
Joshua Becker
John Dingler / tu ho to la
Philipp Teister www.philippteister.de/",
February 2012,https://little-berlin.squarespace.com/calendar/2012/2/25/film-tour-from-gust-to-hail,FILM TOUR: From Gust to Hail,FILM TOUR: From Gust to Hail,"Saturday, February 25, 2012","Join us at little berlin on the evening of Saturday, February 25th for a showcase of new england experimental filmmakers that brings established and new artists in the medium into Philly for an evening of film, all in original formats.

Start-time: 9PM
Length: 50 Minutes

$5 Donation at the door for entry + a complimentary beverage handcrafted by the traveling artists.

Filmakers: 

Adam Paradis - Sundress 6:00

Kim Forero-Arnias - Penumbra 5:45

Matt McWilliams - Masses 3:00

Rob Todd - Imperceptihole 15:00

Paul Turano - Albumleaf 4:30

Kathleen Rugh - Don't Look Directly into the Sun 9:00

Josh Mabe - To Another/To Quit, To Quiet 0:45/3:45

Ben Mosca - Beautiful Things 8:46

Luis Arnias - This Must Be The Place 6:00

Lily Sheng - Rhymes with dreamer / Routes in too 1:43

Jonathan Schwartz - Between Gold 10:42

Eileen Richardson - La Luz Del Perdon 3:00

Douglas Urbank - Ancestors 8:00

Antonia Kuo & Lily Sheng - Seeing Double 2:45 


Website: 
www.fromgusttohail.com",
November 2011,https://little-berlin.squarespace.com/calendar/2011/11/4/the-western-lands,The Western Lands,THE WESTERN LANDS,"Friday, November 4, 2011","An ongoing experiment in serendipity inspired by the last three novels written by William S. Burroughs II, The second in a trilogy of non-linear exhibitions, The Western Lands takes its name from the third book in William S. Burroughs’ cataclysmic “Cities” saga. Ciphers, kinetic machines, hallucinatory projections, and home spun environments mark the break down and reformation of linguistics, symbolic thought, and ritual.

This collaborative installation is based on the interaction of individual vision and communal practice; the braiding of sign, signifier, and symbol will draw a thread linking visionary practice, rhythmic interpretation, and cultivation of chance. The First exhibition, staged in 2010, of the Trilogy was “Cities of the Red Night“, images can be found here and here.

“Terrible scandal: a big pop star, in a jealous rage fueled by cocaine, grabbed his girlfriend’s Yorkshire terrier and threw it into the piranha tank. As the piranhas attacked the floundering dog, the hysterical starlet threw a heavy bronze ashtray which shattered the tank, spilling snapping fish and bloody water across the patrons as the disemboweled, screaming dog dragged its intestines across the floor. Quite a scene it was, and of course there were plenty of cameras to freeze-dry this edifying spectacle for posterity and export. It’s the little touches that make a future solid enough to be destroyed.”

— William S. Burroughs, The Western Lands, p. 37

Most of the installation was created by the artist on site, working together on their individual spaces and collaborating at porous boundaries, allowing overlap and infiltration. Skirmantas Pipas painted a Lego Last Supper Mural, overlapping with Brian Dunn’s printed security seal pasted wall installation. Danielle Payne projected video and lights with peep holes leading to Jennifer Lingford’s room of disquieted, Lynchian/Cronebergian Domestic Decay. Sedakial Gebremedhin, Mike Schultis, and Scott Cooper installed raw earth to enact a mining/Goldshlager drenched performance. Tim Eads unleashed his painting machines to build the foundation of his wind and light installation. Marek Danielewski created the interior of a crypto-sociographic Sarcophagi. Lucia Thomé pierced the space with a tilted and deformed geometric structure that dominates a surrounding workshop, and Tom Yurkovic built an illuminated stairway confronting the viewer with interior, exterior, and reflective views. Salvatore Cerceo and Jim Huebotter brought in manually propelled kinetic sculptures, Conor Fields unleashes his motor driven Das Boot madness and The Justice League of Adversaries performed original electronic composition and video project in the courtyard, where CIPRO‘s street art stream of consciousness has transformed the exterior area of the gallery.

Please join on First Friday Dec 2nd from 6-10 PM for the closing reception of this exhibition, with new music and performance.

There is an additional exhibition within the installation, bring stickers and markers to decorate the cardboard walls of the installations labrynth. Confirmed sticker and poster artist: Astrotwitch, RERIBS R, CTHULHU, JR, EBEN HOLZ, iwillnot, ZELCH, T.M., R.I., Alex Lilly, TCK, NAT, SARO, IWN, Damon Ayers, CIPRO, ALL ONE

Artists: Tim Eads, Jennifer Lingford, Conor Fields, Brian Dunn, Sedakial Gebremedhin, Lucia Thomé, CIPRO, Jim Huebotter, Tom Yurkovic, Danielle Payne, Marek Danielewski, Salvatore Cerceo, Skirmantas Pipas, Justice League of Adversaries

Curated by: Tyler Kline

 

Write ups: 

http://www.theartblog.org/2011/11/the-western-lands-at-little-berlin-the-viewer-interaction-challenge/

http://articles.philly.com/2011-11-04/entertainment/30359919_1_young-artists-street-art-art-scene

 

Facebook events:

https://www.facebook.com/events/153432011422828/

https://www.facebook.com/events/295254497182090/",
October 2011,https://little-berlin.squarespace.com/calendar/2011/10/30/haunted-house-open-call-to-artists,Haunted House open call to artists,HAUNTED HOUSE OPEN CALL TO ARTISTS,"Sunday, October 30, 2011","Open call for artists to make work for a one night exhibition, Haunted House. Bear in mind that the lights will be off for this. Guidelines are as follows: you must supply your own materials for installation; i.e. projection, you must BYOB. This is going to be a haunted house, we are celebrating Halloween, we want you to scare us and embrace the darkness. You are responsible for installing your work. 

Performance is highly encouraged as long as it does not risk the lives of visitors.

Drop off your work Saturday, October 29th from 5-8pm or Sunday, October 30th 12-5pm. Haunted House opens at 8pm.",
September 2011,https://little-berlin.squarespace.com/calendar/2011/9/10/viking-makers-where-its-at,Viking Makers: Where it's at,VIKING MAKERS: WHERE IT'S AT,"Saturday, September 10, 2011","{ facebook event }

September each little berlin member invited artists who have studio space within the Viking Mill to install their work. This exhibit sights the fortune to have these artists at our door step.

Through the act of invitation we welcome three new members to little berlin: Angela McQuillan, Jean Suivan and Marissa Georgiou.

Artists: Alana Bograd, Ally Crow, Becket Flannery, Emily Kane, Emily Royer, Jay Hardman, Lauren Westenhiser, Reese Juel, Sarah Pater, Scott Bickmore

Photos: https://www.flickr.com/photos/littleberlin/sets/72157627530776045/",
August 2011,https://little-berlin.squarespace.com/calendar/2011/8/5/first-friday-opening-distributed-collectives,First Friday opening– Distributed Collectives,FIRST FRIDAY OPENING– DISTRIBUTED COLLECTIVES,"Friday, August 5, 2011","Please join us for an opening reception on First Friday, August 5th that includes performance, demonstrations, virtual tours and barbecue: from 6-11PM at little berlin, located in the courtyard at the Viking Mill: 

2430 Coral Street
Philadelphia 19125
Parking for bikes and cars is readily available.

DISTRIBUTED COLLECTIVES
An exhibition of three web-based artist groups: Computers Club, Manifest.AR and F.A.T. The artists in these groups are located in cities across the world, including Berlin, New York, London, Phoenix, Boston, Amsterdam among others – many of them have been working together closely online for years but have never met in person. This show examines the history and structure of the groups and looks at the diverse processes and approach of the artist working on the interwebz. 

Work in the show ranges from creative coding projects like browser extensions and spatial recognition work, to augmented reality public art, to browser-based motion art and physical installations.

Artists include:
Krist Wood
Robert Lorayn
Duncan Malashock
Travess Smalley
Will Pappenheimer
Mark Skwarek
Christopher Manzione
John Craig Freeman
Tobias Leingruber
Theodore Watson
Greg Leuch
Golan Levin
Borna Sammak
...and more.

The show runs from August 5th until August 27th, 2011. Gallery hours are Saturdays from 12-5PM.",
July 2011,https://little-berlin.squarespace.com/calendar/2011/7/9/materialism-of-encounter,Materialism of Encounter,MATERIALISM OF ENCOUNTER,"Saturday, July 9, 2011","“Being ‘materialistic’ does not mean sticking to the triteness of facts nor does it imply a narrow mindedness that consists in reading works in purely economic terms.”

                                                                                                              - Nicholas Bourriaud

Materialism of Encounter examines the transformation of objects and ideas as they become points of departure, reference and contact. We are able to investigate other’s relationships as well as our own relationships with elements of our landscapes and spaces by rendering them from their origins and into a state of encounter in a neutral setting.

Conor Backman re-creates pre-existing objects that are widely familiar with craft and humorist irony. Through the process of re-making and appropriating he creates a new, unfamiliar experience for these objects.

Matthew Brett creates a series of relationships between objects that are otherwise banal. Through replication, (casting, painting, carving, etc…) these recognizable, everyday objects have been frozen and rendered false. The result being physical memories in a mental landscape where the relationships between objects grow more complex and the importance of the individual artifacts fade.

Sean Kuhnke and Bryan Jabs examine the way people interact with printed material in a social experiment about the commodification of art and interactivity. Their work engages viewers through an uncommon form of distribution of printed media, investigating its role in both private and public space.

Alexandra Barao captures and appropriates elements of nature in a way that is rough and unedited resulting in a transitory and meditative video that reminds us of the comforting wonder of our immediate landscape. Her videos illustrate a time when, in a need to feel grounded, the artist begins to draw from what is directly around them for inspiration.

Joanie Turbek attempts to re-create the sensation of a rainstorm, particularly through it’s construction. The result is a setting that is soothing and familiar. Joanie approaches the re-appropriation of nature in a way that is minimal and humble, making the production and craft secondary to the actual experience that she has created, allowing the viewer to sit by the window and watch the rain.

Masha Badinter focuses on moments in her memory that she believes can be reconstructed as universal grounds for feeling. She uses elements of architecture and light to convey a past experience with an emphasis on the relationship between people and spaces. Although the narrative is from her own memory it is an open narrative that others can complete.

 

Participating Artists: Conor Backman, Matthew Brett, Alexandra Barao, Joanie Turbek, Masha Badinter, Sean Kuhnke, Bryan Jabs

http://conorbackman.com/
http://www.alexandrabarao.om/
http://mattkayhoebrett.co/
http://www.bryanjabs.com/
http://www.seankuhnke.com/
http://joanieturbek.com/

Curated by: Masha Badinter",
June 2011,https://little-berlin.squarespace.com/calendar/2011/6/24/seinfeld-roadrunner-coyote-a-play-by-the-baltimore-annex-theater,"Seinfeld Roadrunner Coyote, a play by The Baltimore Annex Theater","SEINFELD ROADRUNNER COYOTE, A PLAY BY THE BALTIMORE ANNEX THEATER","Friday, June 24, 2011","Remember the 25-person touring stage adaptation of Fantastic Planet that so many of you crammed in to see at the Ox? or A Fistful of Flowers, the trans western, at Little Berlin? The Annex Theater is coming through Philly for ONE NIGHT ONLY with another craftastical adventure, as well as the premiere of TWO BONERS PIZZA DELIVERY SERVICE on our outdoor grill!! That's right. Pizza. 

SEINFELD ROADRUNNER COYOTE features Coyote as Jerry Seinfeld, convinced by Elaine, Kramer, and George to try internet dating as a means of catching The Roadrunner. Coyote's ingenious ploy to impersonate a female roadrunner on the web proves futile in person. Puppets and mechanistic traps lead the way to his inevitable demise and urgent need for medical attention back in his expensive Manhattan apartment.

$5-$10 suggested donation 
(plus some pizza donations plz)",
May 2011,https://little-berlin.squarespace.com/calendar/2011/5/28/carl-diehl-lecturemetaphortean-researchclosing-reception,Carl Diehl Lecture:Metaphortean Research Closing Reception,Carl Diehl Lecture:Metaphortean Research Closing Reception,"Saturday, May 28, 2011","This will be the last lecture at little berlin for VASST.info. In closing the lecture series little berlin invites artist, Carl Diehl to perform/lecture case studies related to his Metaphortean Research. This gesture pairs science fiction with the art form, inviting discourse within the non-empirical avenues of science.

After the lecture, there will be massive amounts of celebration.

From metaphortean.wordpress.org:
The neologized term “Metaphortean” combines “metaphor” and “Fortean,” the latter term denoting strange, mysterious events popularized in the publications of the independent early 20th century researcher Charles Fort. An eccentric champion of anomalous phenomena, Fort collected facts that had allegedly been excluded, rejected, or ignored by established science because they were unexplainable. While Fort focused on the arbitrary borderlines between accepted and denied explanations, Metaphortean Research puzzles the shifting values associated with new and obsolescent media.

An official, if speculative, genealogy of Metaphortean Research to be presented at Little Berlin gallery in Philadelphia on Saturday May 28th. Arriving at the end of the current exhibit of Very Amateur Society of Science and Technology, this Metaphortean presentation will include several nused and emergent Metaphortean pursuits, including the audio-visually augmented para-lecture version of Polterzeitgest...",
April 2011,https://little-berlin.squarespace.com/calendar/2011/4/29/vasstinfo-opening-receptionbreadboard-ekg-project-space,VASST.info OPENING RECEPTION@Breadboard EKG Project Space,VASST.INFO OPENING RECEPTION@BREADBOARD EKG PROJECT SPACE,"Friday, April 29, 2011","First opening of the dual site exhibit pairing Breadboard's EKG Project Space with little berlin, VASST.info, Very Amateur Society for Science and Technology. 
VASST.info asks select artists to produce a science experiment in place of the art object. As a result the artists have brought forth a unique insight relating to science and technology.

Artists at Breadboard’s EKG Project Space:
Brandon Joyce
Daniel Wallace & Derek Frech
Jamie Dillon
Sam Cusumano

Read more on breadboard's Website:
http://breadboardphilly.org/archives/3197

and little berlin's website:
http://littleberlin.org/

find out more about the artists at VASST.info:
http://vasst.info/participants

Curated by Beth Heinly ",
November 2010,https://little-berlin.squarespace.com/calendar/2010/11/9/landscape-techne,Landscape Techne,LANDSCAPE TECHNE,"Tuesday, November 9, 2010","Landscape Techne intends to maintain the legacy of the relationship of the artist and technology while exploring the role of landscape in art. Landscape as a genre was originally influenced by a physical panoramic view, limited at times to a specific region. It has remained a long time object of affection for the artist, as it has been translated since the frescoes of Minoan Greece. The objective of Landscape Techne is to initiate dialogue about the manner in which artists are challenging the way landscape art is conveyed and experienced based on the insistent mutation of the artist’s toolbox. The artists chosen for this exhibition use land as a significant element in their work and utilize various formats of expression from the i-phone to the virtual world program Second Life. Landscape Techne aims to provide some insight as to why landscape has survived as a theme in fine art and how technology and social change have influenced the way artists consider it as content.

The techne element of the title was inspired by an explanation of the Greek root word provided by Tom Boellstorff in his book Coming of Age in Second Life:

“Techne refers to art of craft, to human action that engages with the world and thereby results in a different world. Techne is not just knowledge about the world, what Greek thought termed episteme; it is intentional action that constitutes a gap between the world as it was before the action, and the new world it calls in to being.”

Arists: Franziska Lamprecht, Hajoe Moderegger, Maria Dumlao, Carl Diehl, Alex Mcleod, Rafael Rozendaal, Xarene Eskandar, Luke Painter

Curated by: Kristen Neville-Taylor",
October 2010,https://little-berlin.squarespace.com/calendar/2010/10/16/drum-bass-nite,Drum & Bass Nite,Drum & Bass Nite,"Saturday, October 16, 2010",Please join us for a nite of drum & bass.,
September 2010,https://little-berlin.squarespace.com/calendar/2010/9/26/byoty-ii-book-fair,BYOTY II BOOK FAIR,BYOTY II BOOK FAIR,"Sunday, September 26, 2010",Little Berlin's second annual book fair. Collect zines!!!! Admission is free and there will be home brewed beer and cider available for a small donation.,
August 2010,https://little-berlin.squarespace.com/calendar/2010/8/6/little-warsaw,Little Warsaw,LITTLE WARSAW,"Friday, August 6, 2010","Come celebrate the works of Polish Ancestry in a city containing a rich Polish heritage. Along with works from Philadelphian Poles, artists currently living in Poland have also submitted their work — and so the opening provides a link between Philly’s Polish heritage and the contemporary Polish art scene. Polish refreshments and entertainment.

Artists: Maria Kula, Tomek Szelinski, Ela Krysiak, Stickyhat/Aga Bieniek, Liz Rywelski, Manya Scheps, Greg Stefan Stachowicz, Micheal Gerkovich, Kenny Deprez, Ellen Foster, Christine Jones, Ian Harker, Helen Rynkowski, Angela McQuillan, Rob Francisco

Curated by Matt Maycock

Photos: https://www.flickr.com/photos/littleberlin/sets/72157624709976094/

 ",
June 2010,https://little-berlin.squarespace.com/calendar/2010/6/4/forecast,Forecast,FORECAST,"Friday, June 4, 2010","Opening Saturday, June 12 from 6 to 10pm, Little Berlin’s members will be sharing their recent work in the exhibition, Forecast. Come look at some art, have a beer and welcome the collective’s three new members.",
May 2010,https://little-berlin.squarespace.com/calendar/2010/5/7/value-city,Value City,VALUE CITY,"Friday, May 7, 2010",Curated by Masha Badinter,
April 2010,https://little-berlin.squarespace.com/calendar/2010/4/2/scene,Scene,SCENE,"Friday, April 2, 2010","SCENE is an exhibition of International artists working with the performative aspects of the ceramic object. The artists employ alternative devices such as video, architecture, photography and performance to activate the typically static ceramic art object. The main focus of the show is to change the audience’s awareness of and interaction with the gallery as public space. Our perceptions are challenged as we consider the transition of private to public, actor to audience or author to reader.

Artists: Mike McCurdy, Ane Fabricius Christiansen, Henny Linn Kjellberg, Jennifer Woodin

Curated by Jennifer Woodin",
March 2010,https://little-berlin.squarespace.com/calendar/2010/3/8/1st-annual-little-berlin-print-invitational,1st Annual Little Berlin Print Invitational,1ST ANNUAL LITTLE BERLIN PRINT INVITATIONAL,"Monday, March 8, 2010",Curated by Tim Pannell,
February 2010,https://little-berlin.squarespace.com/calendar/2010/2/5/works-on-paper-rejects,Works on Paper: Rejects,WORKS ON PAPER: REJECTS,"Friday, February 5, 2010"," 

Pics: https://www.flickr.com/photos/littleberlin/sets/72157623442845736/",
January 2010,https://little-berlin.squarespace.com/calendar/2010/1/8/this-is-the-only-place-that-can-save-my-heart,This is the Only Place that Can Save My Heart,THIS IS THE ONLY PLACE THAT CAN SAVE MY HEART,"Friday, January 8, 2010","Masha Badinter, Mark Campbell, Michael Grothusen, James Johnson & Leah Bailis, Jenny Kanzler, Hope Rovelto, Mark Shetabi, and Shelley Spector

Curated by Alex Gartelmann

Friday, January 8th – Saturday, January 30th 2010
Opening Reception Friday, January 8th 6-10 PM

The word home is by definition a many faceted term. It can be used as a noun, verb, adverb, and adjective according to the Merriam-Webster Dictionary. In it’s most common usage, as a noun, Merriam and Webster give us six sub definitions of home:

1. One’s place of residence: domicile: house
2. The social unit formed by a family living together
3. A familiar or usual setting: congenial environment; also: the focus of one’s attention
4. A place of origin; one’s own country
5. An establishment providing residence and care for people with special needs
6. The objective in various games

The point being that home is many things, and it is always specific to the individual. We use the word in common phrases such as, “I’m going home for the holidays.”, “Home is where the heart is.”, “I’m headed home after work.”, in which we all understand what the meaning and intent. But in truth home differs from person to person. The history and context of peoples lives define what home is to them. That definition is specific to that person alone. Siblings may come and go to the same “home” but their memories and experiences in that place are not the same. The idea of home changes over time as well. When a person is young home is where they are being raised, but that changes as they grow older and move onto new places. We may know our homes like the back of our metaphorical hands, but is that the physical elements of the house we grew up in? Is it the attitudes of the people that occupy a place? Is it all of these things? There are many people who do not have a single place that they call home. What do nomadic groups consider to be home? Or foster children who jump from family to family? Or an adolescent who moves to a different country?

This is the Only Place that Can Save My Heart looks at a variety of perspectives on this issue. Each artist has a different perception of the power and definition of home. This place, or people, or feeling has an impact on the work that the artists make. Some of the artists address the issue of home directly, while some use the people, places, and things they think of as home as spring boards for their art making. Nostalgia, memory, historical context, and architecture as icon are just a few of the ideas that are examined in this exhibition.",
November 2009,https://little-berlin.squarespace.com/calendar/2009/11/7/heaven-on-earth,Heaven on Earth,HEAVEN ON EARTH,"Saturday, November 7, 2009","Little Berlin is proud to present Heaven on Earth, an exhibition of eighteen
artists curated by Sam Belkowitz, which tackles the ambitious task of mining
one’s search for utopia. In this exhibition, Belkowitz asks each artist: where do
you find perfection? Are the ideals of utopia even possible or attainable? These
works coalesce into an environment without limits at Little Berlin, providing
the viewer with a series of vantage points from which to experience the
paradoxical nature of utopian dreams. Please join us at Little Berlin to
experience Heaven on Earth.

Heaven on Earth opens on Saturday Novermber 7, 2009 from 6pm-10pm at
119 W. Montgomery Ave, Philadelphia PA, 19122. This exhibition will include
video, installation, painting, sculpture, and photography. Featured artists
include: Sam Belkowitz, Helen Cahng, Michelle Chong, Micah Danges,
Joy Feasley, Richard Harrod, Nadia Hironaka, M. Ho, Aaron Igler, Eugene Lew,
Tristin Lowe, Jacob Lunderby, Naomi Reis, Josh Rickards, Mary Smull,
Matthew Suib, Paul Swenbeck, Artie Vierkant, and Linda Yun.
Musical performances: agup b on Saturday, November 14, 8pm, and
Zurgunruhe sounds + Shake the Sky on Sunday, November 22, 4pm.

Show runs from November 7th-28th

Little Berlin
119 W. Montgomery Ave.
Philadelphia, PA 19122
Gallery Hours Saturdays 12-5pm
or by appointment contact Sam Belkowitz at
sambelkowitz@yahoo.com",
October 2009,https://little-berlin.squarespace.com/calendar/2009/10/2/breaking-news,Breaking News,BREAKING NEWS,"Friday, October 2, 2009","LITTLE BERLIN, Philadelphia. For the month of October, Little Berlin will host Preston Link and Gabriel Boyce’s Breaking News. The news-themed installation documents and interprets popular (and sometimes, not-so-popular) news stories. Using fine art as a method of reporting, the show delves into the depths of contemporary media.

Join us at the Opening Reception October 2, 6pm-11pm
Show runs through October 31st, 2009


Sponsored by CNNBCBS.com

 

{facebook event}

Pics: https://www.flickr.com/photos/littleberlin/sets/72157622523323066/

Article: http://www.theartblog.org/2009/10/breaking-news-at-little-berlin/",
September 2009,https://little-berlin.squarespace.com/calendar/2009/9/3/bright-path,Bright Path,BRIGHT PATH,"Thursday, September 3, 2009","Curated by Kristen Neville-Taylor

Photos: https://www.flickr.com/photos/littleberlin/sets/72157622403818289/",
August 2009,https://little-berlin.squarespace.com/calendar/2009/8/7/bone-tails,BONE TAIL,BONE TAIL,"Friday, August 7, 2009","{ Facebook Event }

The ancient stories are not done with us yet…
Bone Tails
An exhibition of paintings, sculpture, print and installation revolving around the theme of myth and fable.

Little Berlin
Opening August 7th
Runs Through August 30th

Artists:
Salvatore Cerceo
Dennis McNett
Shawn Beeks
Damon Ayers


Curated by Tyler Kline

Photos:

http://www.flickr.com/photos/littleberlin/sets/72157621974410784/",
July 2009,https://little-berlin.squarespace.com/calendar/2009/7/3/one-and-two-and,One and two and,ONE AND TWO AND,"Friday, July 3, 2009","Email diary:
One last chance to experience the 4-dimensional installation of One And Two And…
a multimedia show curated by Masha Badinter, featuring the work of:

Jimm Scannell, Dan Muphy, Jenna Wilchinsky, Masha Badinter, Why-No",
June 2009,https://little-berlin.squarespace.com/calendar/2009/6/11/offerings,Offerings,OFFERINGS,"Thursday, June 11, 2009","{ Facebook Event }

""The exhibit is co-curated by Martha Savery and Alex Gartelmann and centers around a stunning feat of organizational chaos:
80 Philadelphia area artists, who happen to be strangers, working collaboratively in twenty groups.

This 10-week project includes participants from a variety of backgrounds, both established and emerging: visual artists, performers, writers, biologists and anthropologists. Loosely prompted by the concept of ""offerings"" and a budgetary limit of $50 per group, the artists set about getting to know each other and attempting to find common ground. Designed to allow the artists to push the boundaries of their studio practices, Offerings has the added bonus of exposing disparate artists within the groups to new resources right here in their own city. The main intent of Offerings has been to create new connections between artists here in Philadelphia. Each group will have had a unique experience. It is hoped that when this project comes to an end the participating artists will have new people to work and share thoughts with, new resources to aid or add to their making process, and the potential for new opportunities to show and share their work. 

The show itself will feature performance, video work, drawings, photography and much more that is yet unknown to the show's organizers.
Teetering on the edge of impossibility, it is the most ambitious and surprising exhibition produced by Little Berlin so far.""
 ",
